Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Coimbra, Miguel T; Francisco, José ATS; Freitas, Joana C; Carvalho, Renata V; Vilela, Sara RB; Ribeiro, Catarina ICD; Silvano, José LCSL; Pedroso, Sofia; Almeida, Manuela; Martins, La Salete; ",Excess Mortality in Kidney and Kidney-Pancreas Transplant Recipients in the COVID-19 Pandemic in Portugal—A Cohort Study,Transplant International,36,,11655,2023,Frontiers Media SA
"Becchetti, Leonardo; Conzo, Gianluigi; Conzo, Pierluigi; Salustri, Francesco; ",Excess mortality and protected areas during the COVID-19 pandemic: Evidence from Italian municipalities,Health Policy,126,12,1269-1276,2022,Elsevier
"Vieira, André; Ricoca Peixoto, Vasco; Aguiar, Pedro; Sousa, Paulo; Abrantes, Alexandre; ",Excess non-COVID-19 mortality in Portugal: seven months after the first death,Portuguese Journal of Public Health,38,Suppl. 1,51-57,2021,S. Karger AG
"Levi, Miriam; Cipriani, Francesco; Romeo, Gianpaolo; Balzi, Daniela; ",Analysis of the excess mortality and factors associated with deaths from COVID-19 versus other causes in Central Tuscany (Italy) in 2020.,Epidemiologia e Prevenzione,45,6,496-503,2021,
"Savage, Rachel D; Rochon, Paula A; Na, Yingbo; Strauss, Rachel; Brown, Kevin A; Costa, Andrew P; Gill, Sudeep; Johnstone, Jennie; Tanuseputro, Peter; Stall, Nathan M; ",Excess mortality in long-term care residents with and without personal contact with family or friends during the COVID-19 pandemic,Journal of the American Medical Directors Association,23,3,441-443. e1,2022,Elsevier
"Kye, Bongoh; ",Excess Mortality During the COVID-19 Pandemic in South Korea,Comparative Population Studies,48,,,2023,
"Morciano, Marcello; Stokes, Jonathan M; Kontopantelis, Evangelos; Hall, Ian; Turner, Alexander J; ",Excess mortality for care home residents during the first 23 weeks of the COVID-19 pandemic in England: a national cohort study (preprint),,,,,2020,
"Rabarison, Joelinotahiana Hasina; Rakotondramanga, Jean Marius; Ratovoson, Rila; Masquelier, Bruno; Rasoanomenjanahary, Anjaraso Maharavo; Dreyfus, Anou; Garchitorena, Andres; Rasambainarivo, Fidisoa; Razanajatovo, Norosoa Harline; Andriamandimby, Soa Fy; ","Excess mortality associated with the COVID-19 pandemic during the 2020 and 2021 waves in Antananarivo, Madagascar",BMJ Global Health,8,7,e011801,2023,BMJ Specialist Journals
"da Silva, Ricardo Eccard; Novaes, Maria Rita Carvalho Garbi; De Oliveira, Cesar; Guilhem, Dirce Bellezi; ",The impact of social cohesion and risk communication on excess mortality due to COVID-19 in 213 countries: a retrospective analysis,,,,,2023,
"Ramirez, Marcos Diaz; Veneri, Paolo; Lembcke, Alexander C; ",Where did it hit harder?: The geography of excess mortality during the COVID-19 pandemic,,,,,2021,OECD
"Urashima, Mitsuyoshi; Tanaka, Emiri; Ishihara, Hiroto; Akutsu, Taisuke; ",Association between life expectancy at age 60 years before the COVID-19 pandemic and excess mortality during the pandemic in aging countries,JAMA Network Open,5,10,e2237528-e2237528,2022,American Medical Association
"Toulkeridis, Theofilos; Ortiz-Prado, Esteban; Chunga-Moran, Jamileth; Heredia-R, Marco; Debut, Alexis; ",Excess Mortality Data Analysis of COVID-19 Infections and Fatalities in Ecuador Análisis de datos de exceso de mortalidad por infecciones y muertes por COVID-19 en Ecuador Análise de dados sobre o excesso de mortalidade por infecções e mortes pela COVID-19 no Equador,,,,,,
"Arsenović, Daniela; ",Excess mortality and COVID-19 deaths: preliminary data from Serbia and comparison with European experience,Geographica Pannonica,27,1,,2023,
"Kirenga, Bruce J; Byakika-Kibwika, Pauline; ",Excess COVID-19 mortality among critically ill patients in Africa,The Lancet,397,10288,1860-1861,2021,Elsevier
"Safavi-Naini, Seyed Amir Ahmad; Farsi, Yeganeh; Alali, Walid Q; Solhpour, Ali; Pourhoseingholi, Mohamad Amin; ",Excess all-cause mortality and COVID-19 reported fatality in Iran (April 2013–September 2021): age and sex disaggregated time series analysis,BMC Research Notes,15,1,1-7,2022,BioMed Central
"Liu, Lee; ",Covid-19 Excess Mortality in China: A Regional Comparison,medRxiv,,,2023.06. 15.23291443,2023,Cold Spring Harbor Laboratory Press
"Alfaro Morgado, Tania; Martínez Folgar, Kevin; Vives, Alejandra; Bilal, Usama; ","Excess mortality during the COVID‑19 pandemic in cities of Chile: magnitude, inequalities, and urban determinants",,,,,2022,Springer
"Crubézy, Eric; Telmon, Norbert; ","Pandemic-related excess mortality (COVID-19), public health measures and funerary rituals",EClinicalMedicine,22,,,2020,Elsevier
"Sy, Wilson; ",Australian COVID-19 pandemic: A Bradford Hill analysis of iatrogenic excess mortality,J Clin Exp Immunol,8,2,542-556,2023,
"Ku, Chu-Chang; ",Public Health Insight From Excess Mortality During the COVID-19 Pandemic,American Journal of Public Health,111,7,1199-1201,2021,American Public Health Association
"Moreno-Iribas, Conchi; Floristán, Yugo; Martinez, Iniesta; Aicua, Eva Ardanaz; Eslava, Guevara; Delfrade, Josu; ","Excess of mortality and mortality from COVID-19 and other causes of death in 2020 in Navarra, Spain",Anales del Sistema Sanitario de Navarra,45,3,e1018-e1018,2022,
"Martin-Olalla, Jose Maria; ",A reference for mortality in Spain from 2001 to 2019 records with an accurate estimate of excess deaths during the 2020 spring covid-19 outbreak,,,,,2020,
"Aizenman, Joshua; Cukierman, Alex; Jinjarak, Yothin; Nair-Desai, Sameer; Xin, Weining; ",A two covid-19 years quartile comparison of official with excess mortality: Voice and accountability and the impact of vaccines,,,,,2022,National Bureau of Economic Research
"LIU, LI; ",Sustainability Indexes as Possible Predictors of Excess Mortality across OECD Countries during the Covid-19 Pandemic,medRxiv,,,2023.06. 09.23291035,2023,Cold Spring Harbor Laboratory Press
"Matveeva, Olga; Shabalina, Svetlana A; ",Comparison of Vaccination and Booster Rates and Their Impact on Excess Mortality During the COVID-19 Pandemic in European Countries,medRxiv,,,2023.03. 21.23287548,2023,Cold Spring Harbor Laboratory Press
"Jardim, Beatriz Cordeiro; Santos, Cleber Vinicius Brito dos; ",Excess mortality in Brazil in times of Covid-19,Ciência & Saúde Coletiva,25,,3345-3354,2020,SciELO Public Health
"Inacio, Maria C; Davies, Ling; Jorissen, Robert; Air, Tracy; Eshetie, Tesfahun; Mittinty, Murthy; Caughey, Gillian; Miller, Caroline; Wesselingh, Steve; ","Excess mortality in residents of aged care facilities during COVID-19 in Australia, 2019–22",International Journal of Epidemiology,,,dyad168,2023,Oxford University Press
"Bamezai, Apurva; Banaji, Murad; Gupta, Aashish; Pandey, Shivani; Sharan, MR; Sharma, Kanika; Singh, Chanchal Kumar; ",Survey evidence of excess mortality in Bihar in the second COVID-19 surge,,,,,2021,SocArxiv
"Bănică, Alexandru; Muntele, Ionel; ",Local and regional factors of spatial differentiation of the excess mortality related to the COVID-19 pandemic in Romania,Letters in Spatial and Resource Sciences,16,1,23,2023,Springer
"Meng, Yuan; Wong, Man Sing; Xing, Hanfa; Kwan, Mei-Po; Zhu, Rui; ",Assessing the country-level excess all-cause mortality and the impacts of air Pollution and human activity during the COVID-19 Epidemic,International Journal of Environmental Research and Public Health,18,13,6883,2021,MDPI
"Dahal, Sushma; Banda, Juan M; Bento, Ana I; Mizumoto, Kenji; Chowell, Gerardo; ",Characterizing all-cause excess mortality patterns during COVID-19 pandemic in Mexico (preprint),,,,,2021,
"Del Castillo, Fides A; ",Negative COVID-19 excess mortality in the Philippines: outcome of public health measure or product of incomplete data?,Journal of Public Health,44,2,e291-e292,2022,Oxford University Press
"Faust, Jeremy Samuel; Renton, Benjamin; Chen, Alexander Junxiang; Du, Chengan; Liang, Chenxue; Li, Shu-Xia; Lin, Zhenqiu; Krumholz, Harlan M; ",The uncoupling of all-cause excess mortality from Covid-19 cases and associated hospitalizations in late winter and spring of 2022 in a highly vaccinated state,medRxiv,,,2022.07. 07.22277315,2022,Cold Spring Harbor Laboratory Press
"Banerjee, Amitava; Pasea, Laura; Harris, Steve; Gonzalez-Izquierdo, Arturo; Torralbo, Ana; Shallcross, Laura; Noursadeghi, Mahdad; Pillay, Deenan; Sebire, Neil; Holmes, Chris; ",Estimating excess 1-year mortality associated with the COVID-19 pandemic according to underlying conditions and age: a population-based cohort study,The Lancet,395,10238,1715-1725,2020,Elsevier
"Dasgupta, Raktim; Majumder, Shovan Kumar; ",A simulation of undiagnosed population and excess mortality during the COVID-19 pandemic,Results in Control and Optimization,,,100262,2023,Elsevier
"Lamy, Pierre-Jean; Rébillard, Xavier; Vacherot, Francis; de La Taille, Alexandre; ",Androgenic hormones and the excess male mortality observed in COVID-19 patients: new convergent data,World Journal of Urology,39,8,3121-3123,2021,Springer
"Msemburi, William; Karlinsky, Ariel; Knutson, Victoria; Aleshin-Guendel, Serge; Chatterji, Somnath; Wakefield, Jon; ",Estimates of the excess mortality associated with the COVID-19 pandemic from the World Health Organization,,,,,2022,
"Tenso, Kertu; Strombotne, Kiersten L; Feyman, Yevgeniy; Auty, Samantha G; Legler, Aaron; Griffith, Kevin N; ",Excess Mortality at Veterans Health Administration Facilities During the COVID-19 Pandemic,Medical Care,61,7,456-461,2023,Wolters Kluwer
"Kurita, Junko; Sugawara, Tamie; Sugishita, Yoshiyuki; Ohkusa, Yasushi; ",Negative excess mortality in pneumonia death caused by COVID-19 in Japan,medRxiv,,,2021.01. 22.21250283,2021,Cold Spring Harbor Laboratory Press
"Nasirov, Ruslan; ",DECENTRALIZATION AND COVID-19 OUTCOMES. Investigating the relationship between levels of decentralization and COVID-19 excess mortality rates.,,,,,2022,
"He, Guanhao; Xiao, Jianpeng; Lin, Ziqiang; Ma, Wenjun; ","Excess mortality, rather than case fatality rate, is a superior indicator to assess the impact of COVID-19 pandemic",The Innovation,3,5,,2022,Elsevier
"Knight, Alastair; ",Letter to the editor about the article “Excess mortality estimation during the COVID-19 pandemic: preliminary data from Portugal https://doi. org/10.20344/amp. 13928”,Acta Médica Portuguesa,33,6,446-447,2020,
"Jung, Eujene; Ro, Young Sun; Ryu, Hyun Ho; Do Shin, Sang; Moon, Sungwoo; ",Interaction effects between COVID-19 outbreak and community income levels on excess mortality among patients visiting emergency departments,Journal of Korean medical science,36,13,,2021,The Korean Academy of Medical Sciences
"Bilinski, Alyssa; Thompson, Kathryn; Emanuel, Ezekiel; ","COVID-19 and excess all-cause mortality in the US and 20 comparison countries, June 2021-March 2022",JAMA,329,1,92-94,2023,American Medical Association
"Stewart, Robert; Broadbent, Matthew; Das-Munshi, Jayati; ",Excess mortality in mental health service users during the COVID-19 pandemic described by ethnic group: South London and Maudsley data.,medRxiv,,,2020.07. 13.20152710,2020,Cold Spring Harbor Laboratory Press
"Ceriani, Lidia; Verme, Paolo; ",Excess mortality as a predictor of mortality crises: the case of COVID-19 in Italy,,,,,2020,GLO Discussion Paper
"Lundberg, Christina E; Santosa, Ailiana; Björk, Jonas; Brandén, Maria; Cronie, Ottmar; Lindgren, Martin; Edqvist, Jon; Åberg, Maria; Adiels, Martin; Rosengren, Annika; ",Age and sex differences in cause-specific excess mortality and years of life lost associated with COVID-19 infection in the Swedish population,European Journal of Public Health,,,ckad086,2023,Oxford University Press
"Kondilis, E; Tarantilis, F; Benos, Alexios; ",Essential public healthcare services utilization and excess non-COVID-19 mortality in Greece,Public Health,198,,85-88,2021,Elsevier
"Kneebone-Hopkins, C; Artemiou, A; Demetriou, CA; ",Determinants of excess mortality during the COVID-19 pandemic in 18 countries of the CMOR consortium,European Journal of Public Health,32,Supplement_3,ckac129. 278,2022,Oxford University Press
"Gupta, Ayon; Asadullah, Md; Kumar, Rakesh; Krishnan, Anand; ",Exploratory analysis of the suitability of data from the civil registration system for estimating excess mortality due to COVID-19 in Faridabad district of India,Indian Journal of Medical Research,,,,2023,Medknow
"Lytras, Theodore; Athanasiadou, Maria; Demetriou, Anna; Stylianou, Despina; Heraclides, Alexandros; Kalakouta, Olga; ",Excess mortality in Cyprus during the COVID-19 pandemic and its lack of association with vaccination rates,medRxiv,,,2022.08. 05.22278487,2022,Cold Spring Harbor Laboratory Press
"Okafor, Chinenye Innocent; ",Statistical Modelling of COVID-19 Mortality and Excess Mortality in Belgium,,,,,2021,tUL
"Kurita, Junko; Sugawara, Tamie; Ohkusa, Yasushi; ","Excess Mortality Probably Attributable to COVID-19 in Tokyo, Japan During August and October 2020",Journal of Disaster Research,16,5,890-894,2021,Fuji Technology Press Ltd.
"Janus, Scott E; Makhlouf, Mohamed; Chahine, Nicole; Motairek, Issam; Al-Kindi, Sadeer G; ",Examining disparities and excess cardiovascular mortality before and during the COVID-19 pandemic,Mayo Clinic Proceedings,97,12,2206-2214,2022,Elsevier
"Kurita, Junko; Sugawara, Tamie; Ohkusa, Yasushi; ",Huge Excess Mortality Due to the Delta Strain of COVID-19 in Japan in August 2021,Journal of Disaster Research,17,1,57-60,2022,Fuji Technology Press Ltd.
"Liu, Ying; He, Xinyuan; Lee, Ernest Y; Lv, Fan; Yao, Leiqing; Meng, Qinqin; Zhang, Lan; Ng, Wee Han; Zhang, Yanfei; Elias, Peter M; ",Excess psoriasis and psoriatic arthritis mortality during the COVID‐19 pandemic in the United States: A nationwide population‐based study from 2010 to 2021,Journal of the European Academy of Dermatology and Venereology,,,,2023,Wiley Online Library
"Chong, Ka Chun; Chan, Paul KS; Hung, Chi Tim; Wong, Carlos KH; Xiong, Xi; Wei, Yuchen; Zhao, Shi; Guo, Zihao; Wang, Huwen; Yam, Carrie HK; ",Changes in all-cause and cause-specific excess mortality before and after the Omicron outbreak of COVID-19 in Hong Kong,Journal of Global Health,13,,,2023,International Society for Global Health
"Mor, Matan; Kugler, Nadav; Jauniaux, Eric; Betser, Moshe; Wiener, Yifat; Cuckle, Howard; Maymon, Ron; ",Impact of the COVID-19 pandemic on excess perinatal mortality and morbidity in Israel,American journal of perinatology,38,04,398-403,2020,"Thieme Medical Publishers, Inc. 333 Seventh Avenue, 18th Floor, New York, NY …"
"Ashofteh, Afshin; Bravo, Jorge M; Ayuso, Mercedes; ",An ensemble learning strategy for panel time series forecasting of excess mortality during the COVID-19 pandemic,Applied Soft Computing,128,,109422,2022,Elsevier
"Bello, Piera; Rocco, Lorenzo; ",Education and COVID-19 excess mortality,Economics & Human Biology,47,,101194,2022,Elsevier
"Carey, Iain; Strachan, David; Cook, Derek; Harris, Tess; DeWilde, Stephen; Chaudhry, Umar; ",OP03 Comparative analysis of risk factors for excess and usual mortality during the first 2020 COVID-19 pandemic phase in England,Journal of Epidemiology and Community Health,75,Suppl 1,A2-A2,2021,BMJ Publishing Group Ltd
"Bello, Piera; Rocco, Lorenzo; ","Education, information, and COVID-19 excess mortality",,,,,2021,IZA Discussion Paper
"Do, D Phuong; Frank, Reanne; ",Using race-and age-specific COVID-19 case data to investigate the determinants of the excess COVID-19 mortality burden among Hispanic Americans,Demographic Research,44,,699-718,2021,JSTOR
"Molenberghs, Geert; Faes, Christel; Verbeeck, Johan; Deboosere, Patrick; Abrams, Steven; Willem, Lander; Aerts, Jan; Theeten, Heidi; Devleesschauwer, Brecht; Sierra, Natalia Bustos; ","Belgian Covid-19 Mortality, Excess Deaths, Number of Deaths per Million, and Infection Fatality Rates (8 March-9 May 2020)(preprint)",,,,,2020,
"Miia Kivipelto, MD; Anna Nordström, MD; Peter Nordström, MD; ",Excess Mortality After COVID-19 in Swedish Long-Term Care Facilities,,,,,2021,
"Griffin, Shaun; ",Covid-19: England had worst excess mortality in Europe in April,BMJ: British Medical Journal (Online),370,,,2020,BMJ Publishing Group LTD
"Migriño Jr, Julius R; Bernardo-Lazaro, Ma Rosario; ",Using an online calculator to describe excess mortality in the Philippines during the COVID-19 pandemic,Western Pacific Surveillance and Response Journal: WPSAR,14,1,1,2023,"World Health Organization, Regional Office for the Western Pacific"
"Vanthomme, Katrien; Gadeyne, Sylvie; Devleesschauwer, Brecht; Van den Borre, Laura; ",Excess mortality among native Belgians and migrant groups in Belgium during the first three COVID-19 waves: the evolving dynamics of social inequalities,Journal of Public Health,,,1-12,2023,Springer
"Leffler, Christopher T; Lykins, V JD; Yang, E; ","Preliminary analysis of excess mortality in India during the COVID-19 pandemic (update September 26, 2021)",,,,,2021,
"Maruotti, Antonello; Ciccozzi, Massimo; Jona-Lasinio, Giovanna; ",COVID-19-induced excess mortality in Italy during the Omicron wave.,IJID Regions,4,,85-87,2022,Elsevier
"Lee, Sze Chim; DelPozo-Banos, Marcos; Friedmann, Yasmin; Akbari, Ashley; Lyons, Ronan A; John, Ann; ","Widening excess mortality during the COVID-19 pandemic in individuals who self-harmed: A whole-population-based e-cohort study in Wales, UK, April 2016-March 2021.",Crisis: The Journal of Crisis Intervention and Suicide Prevention,,,,2022,Hogrefe Publishing
"Diego, Juan; Enrique, Josè; ",Trends in relevant excess mortality in Peru and nine areas during the first wave of COVID-19 pandemic between January and May 2020: A descriptive study,,,,,2021,
"Anna Nordström, MD; Peter Nordström, MD; ",Excess Mortality After COVID-19 in Swedish Long-Term Care Facilities,,,,,2021,
"Magiorkinis, Gkikas; ",Standardized cumulative metrics of excess mortality to monitor health system resilience throughout COVID-19 and other respiratory virus resurgences,American Journal of Epidemiology,,,kwad081,2023,Oxford University Press
"Sharma, Richa; Kuohn, Lindsey R; Weinberger, Daniel M; Warren, Joshua L; Sansing, Lauren H; Jasne, Adam; Falcone, Guido; Dhand, Amar; Sheth, Kevin N; ",Excess cerebrovascular mortality in the United States during the COVID-19 pandemic,Stroke,52,2,563-572,2021,Am Heart Assoc
"Huang, Li; Li, Oliver Zhen; Yin, Ximing; ",Inferring China’s excess mortality during the COVID-19 pandemic using online mourning and funeral search volume,Scientific Reports,13,1,15665,2023,Nature Publishing Group UK London
"De Nicola, Giacomo; Kauermann, Göran; ",Estimating excess mortality in high-income countries during the COVID-19 pandemic,arXiv preprint arXiv:2305.19139,,,,2023,
"Azevedo, Gulnar; Jardim, Beatriz Cordeiro; Brito dosSantos, Cleber Vinicius; ",Excess mortality in Brazil in times of Covid-19,Ciência & Saúde Coletiva,25,9,,2020,Associação Brasileira de Saúde Coletiva
"Mattiuzzi, Camilla; Lippi, Giuseppe; ",Excess Mortality Is Not Synonymous with COVID-19–Related Deaths,The American Journal of Tropical Medicine and Hygiene,107,1,217,2022,The American Society of Tropical Medicine and Hygiene
"Ashofteh, Afshin; Bravo, Jorge Miguel; Ayuso, Mercedes; ",A Novel Layered Learning Approach for Forecasting Respiratory Disease Excess Mortality during the COVID-19 pandemic,CAPSI 2021 Proceedings,,,1-18,2021,Associação Portuguesa de Sistemas de Informação
"Fryers, PT; Barnard, S; Burton, PR; Fox, S; Waller, Z; Fitzpatrick, J; ",Excess mortality in England during the COVID-19 pandemic,European Journal of Public Health,31,Supplement_3,ckab164. 555,2021,Oxford University Press
"Gibertoni, Dino; Sanmarchi, Francesco; Adja, Kadjo Yves Cedric; Golinelli, Davide; Reno, Chiara; Regazzi, Luca; Lenzi, Jacopo; ",Small-scale spatial distribution of COVID-19-related excess mortality,MethodsX,8,,101257,2021,Elsevier
"Saglietto, Andrea; D'Ascenzo, Fabrizio; Cavarretta, Elena; Frati, Giacomo; Anselmino, Matteo; Versaci, Francesco; Biondi-Zoccai, Giuseppe; De Ferrari, Gaetano M; ",Excess all-cause mortality during COVID-19 outbreak. Potential role of untreated cardiovascular disease,Minerva Cardioangiologica,,,,2020,
"Wilasang, Chaiwat; Modchang, Charin; Lincharoen, Thanchanok; Chadsuthi, Sudarat; ",Estimation of excess all-cause mortality due to COVID-19 in Thailand,Tropical Medicine and Infectious Disease,7,7,116,2022,MDPI
"Yeo, Yee Hui; Wang, Maggie; He, Xinyuan; Lv, Fan; Zhang, Yue; Zu, Jian; Li, Mei; Jiao, Yang; Ebinger, Joseph E; Patel, Jignesh K; ",Excess risk for acute myocardial infarction mortality during the COVID‐19 pandemic,Journal of medical virology,95,1,e28187,2023,Wiley Online Library
"Chen, Yea-Hung; Riley, Alicia R; Duchowny, Kate A; Aschmann, Hélène E; Chen, Ruijia; Kiang, Mathew V; Mooney, Alyssa; Stokes, Andrew C; Glymour, M Maria; Bibbins-Domingo, Kirsten; ","COVID-19 mortality and excess mortality among working-age Californians, by occupational sector: March 2020 through November 2021",medRxiv,,,2022.02. 14.22270958,2022,Cold Spring Harbor Laboratory Press
"Han, Lefei; Zhao, Shi; Li, Siyuan; Gu, Siyu; Deng, Xiaobei; Yang, Lin; Ran, Jinjun; ",Excess cardiovascular mortality across multiple COVID-19 waves in the United States from March 2020 to March 2022,Nature Cardiovascular Research,2,3,322-333,2023,Nature Publishing Group UK London
"Rovetta, Alessandro; ",Annual excess crude mortality in Europe during the COVID-19 pandemic: a longitudinal joinpoint regression analysis of historical trends from 2000 to 2021,COVID,2,12,1778-1786,2022,MDPI
"Aradhya, Siddartha; Brandén, Maria; Drefahl, Sven; Obućina, Ognjen; Andersson, Gunnar; Rostila, Mikael; Mussino, Eleonora; Juárez, Sol P; ",Lack of acculturation does not explain excess COVID-19 mortality among immigrants. A population-based cohort study,,,,,2020,Stockholm Research Reports in Demography
"Bland, Matthew; ","Excess Mortality, Sickness and Absence in the Police Workforce in England and Wales During the COVID-19 Pandemic",Policing: A Journal of Policy and Practice,17,,paad017,2023,Oxford University Press UK
"Bando, Hiroshi; ",Several Effective Measures for Minus Excess Mortality of COVID-19 in Japan Including Mutual Interrelationships and Long-Term Care Facilities (LTCF),Asploro Journal of Biomedical and Clinical Case Reports,4,3,191,2021,Asploro
"Vieira, André; Ricoca, Vasco Peixoto; Aguiar, Pedro; Abrantes, Alexandre; ",Rapid estimation of excess mortality in times of COVID-19 in Portugal Beyond reported deaths,medRxiv,,,2020.05. 14.20100909,2020,Cold Spring Harbor Laboratory Press
"Matz, Melissa; Rhodes, Sarah; Van Tongeren, Martie; Coleman, Michel P; Allemani, Claudia; Nafilyan, Vahe; Pearce, Neil; ",Excess mortality among essential workers in England and Wales during the COVID-19 pandemic: an updated analysis,J Epidemiol Community Health,,,,2023,BMJ Publishing Group Ltd
"Lai, Alvina G; Pasea, Laura; Banerjee, Amitava; Hall, Geoff; Denaxas, Spiros; Chang, Wai Hoong; Katsoulis, Michail; Williams, Bryan; Pillay, Deenan; Noursadeghi, Mahdad; ","Estimated impact of the COVID-19 pandemic on cancer services and excess 1-year mortality in people with cancer and multimorbidity: near real-time data on cancer care, cancer deaths and a population-based cohort study",BMJ open,10,11,e043828,2020,British Medical Journal Publishing Group
"Duan, Mengjuan; Handcock, Mark S; Blackburn, Bart; Kee, Fiona; Biaukula, Viema; Matsui, Tamano; Olowokure, Babatunde; ",Tool for tracking all-cause mortality and estimating excess mortality to support the COVID-19 pandemic response: All-cause mortality calculator for COVID-19 response,Western Pacific Surveillance and Response,13,2,7-7,2022,
"Kolosnitsyna, Marina G; Chubarov, Mikhail Yu; ",Spread of COVID-19 in the Russian regions in 2020: factors of excess mortality,Population and Economics,6,4,1-20,2022,"Faculty of Economics, Lomonosov Moscow State University"
"Cases, Laia; Vela, Emili; Gonzàlez, Sebastià J Santaeugènia; Contel, Joan Carles; Carot-Sans, Gerard; Coca, Marc; Pastor, Marta; Carrasco, Ignasi; Barbeta, Conxita; Vila, Anna; ",Excess mortality among older adults institutionalized in long-term care facilities during the COVID-19 pandemic: a population-based analysis in Catalonia,Frontiers in Public Health,11,,,2023,Frontiers Media SA
"Keim, Mark E; Lovallo, Alex P; ",Validity of the National Health Security Preparedness Index as a Predictor of Excess COVID-19 Mortality,Prehospital and Disaster Medicine,36,2,141-144,2021,Cambridge University Press
"Cristelli, Marina Pontello; Fortaleza, Carlos Magno Castelo Branco; Pereira, João Filipe Costa Alves; Taddeo, Julia Bernardi; Viana, Laila Almeida; Requião‐Moura, Lucio Roberto; Chow, Charles Yea Zen; Nakamura, Monica Rika; Tedesco‐Silva, Helio; Medina‐Pestana, José; ",Excess mortality among kidney transplant recipients: Impact of COVID‐19‐related deaths during the pandemic,Transplant Infectious Disease,,,e14204,2023,Wiley Online Library
"Arias, Elizabeth; Tejada-Vera, Betzaida; ",Differential impact of the COVID-19 pandemic on excess mortality and life expectancy loss within the Hispanic population,Demographic Research,48,,339-352,2023,JSTOR
"Sales, Francisco; Silva, Gonçalo; Coelho, Inês; Bento, Ruben; ",Excess Mortality During The COVID-19 Pandemic In,,,,,2021,
"Nomura, Shuhei; Nishio, Marisa; Abe, Sarah Krull; Eguchi, Akifumi; Inoue, Manami; Suzuki, Motoi; Hashizume, Masahiro; ",Impact of the COVID-19 pandemic on cancer death locations in Japan: an analysis up to February 2023 on excess mortality,Journal of Epidemiology,,,JE20230235,2023,Japan Epidemiological Association
"Tarazi, Wafa W; Finegold, Kenneth; Sheingold, Steven H; Wong Samson, Lok; Zuckerman, Rachael; Bosworth, Arielle; ",COVID-19-Related Deaths And Excess Deaths Among Medicare Fee-For-Service Beneficiaries: Study examines COVID-19 mortality and excess deaths.,Health Affairs,40,6,879-885,2021,
"Coleman, Michel P; Di Carlo, Veronica; Ashton, J; Pollock, Allyson; Matz, Melissa; Allemani, Claudia; ","Reliable, real-world data on excess mortality are required to assess the impact of covid-19",Erişim yeri: https://blogs. bmj. com/bmj/2020/05/07/reliable-real-worlddata-on-excess-mortality-are-required-to-assess-the-impact-of-covid-19/. Erişim tarihi: 17/05,,,,2020,
"Ling, Irving; Del Rosario, Mithi; Gross, Cary P; ",The COVID-19 Pandemic and Racial and Ethnic Disparities in Estimated Excess Mortality From External Causes,JAMA Internal Medicine,,,,2022,
"Sánchez, Christian; Santana, Giovanna; Santana, Marcela; Quentin, Emmanuelle; ",Spatial Variation of Excess Mortality in Mexico During the First Two Years of COVID-19 Pandemic,Available at SSRN 4071501,,,,2022,
"Demombynes, Gabriel; de Walque, Damien; Gubbins, Paul; Urdinola, B; Veillard, Jeremy; ",COVID-19 age-mortality curves for 2020 are flatter in developing countries using both official death counts and excess deaths,Available at SSRN 3963789,,,,2021,
"Malouche, Dhafer; Ben Romdhane, Habiba; ",Excess Mortality Associated with COVID-19 Pandemic Estimation: A 151 Cross-Countries Study,Excess Mortality Associated with COVID-19 Pandemic Estimation: A,151,,,2020,
"Scortichini, Matteo; dos Santos, Rochelle Schneider; De'Donato, Francesca; De Sario, Manuela; Michelozzi, Paola; Davoli, Marina; Masselot, Pierre; Sera, Francesco; Gasparrini, Antonio; ",Excess mortality during the COVID-19 outbreak in Italy: a two-stage interrupted time series analysis (preprint),,,,,2020,
"Addabbo, Francesco; Giotta, Massimo; Mincuzzi, Antonia; Minerba, Aldo Sante; Prato, Rosa; Fortunato, Francesca; Bartolomeo, Nicola; Trerotoli, Paolo; ",No Excess of Mortality from Lung Cancer during the COVID-19 Pandemic in an Area at Environmental Risk: Results of an Explorative Analysis,International Journal of Environmental Research and Public Health,20,8,5522,2023,MDPI
"Renton, Benjamin; Du, Chengan; Chen, Alexander Junxiang; Li, Shu-Xia; Lin, Zhenqiu; Krumholz, Harlan M; Faust, Jeremy Samuel; ",State-Level Excess Mortality in US Adults During the Delta and Omicron Waves of COVID-19,medRxiv,,,2023.03. 07.23286933,2023,Cold Spring Harbor Laboratory Press
"Cohen, Kenneth Roy; Anderson, David; Ren, Sheng; Cook, David J; ",Contribution of the elevated thrombosis risk of males to the excess male mortality observed in COVID-19: an observational study,BMJ open,12,2,e051624,2022,British Medical Journal Publishing Group
"Coker, Eric S; Molitor, John; Liverani, Silvia; Martin, James; Maranzano, Paolo; Pontarollo, Nicola; Vergalli, Sergio; ","Bayesian profile regression to study the ecologic associations of correlated environmental exposures with excess mortality risk during the first year of the Covid-19 epidemic in lombardy, Italy",Environmental Research,216,,114484,2023,Elsevier
"Ballotari, Paola; Guarda, Linda; Giacomazzi, Enrica; Ceruti, Alessandra; Gatti, Luciana; Ricci, Paolo; ","Excess mortality risk in nursing care homes before and during the COVID-19 outbreak in Mantua and Cremona provinces (Lombardy Region, Northern Italy)",Epidemiologia e Prevenzione,44,5-6 Suppl 2,282-287,2020,
